name,sse,r2,rmse,p00,p01,p10,p20,p02,p11
1kvp,124.37062027319722,0.9990607573079503,0.030803774608974484,-0.009628986153881414,-0.00016432169858338064,-0.036176625812684104,4.411858976660632e-05,-0.00013930332246725463,0.999822975893363
1kvq,119.55655064333948,0.9990739777802212,0.03020172335568631,-0.009583541404109441,-0.00011647032756489928,-0.03590181981619245,3.4076913578484636e-05,-1.873910729455197e-05,0.9996515998602639
1kx5,122.9964730397771,0.9990582050113624,0.030633129431592743,-0.009634233941389292,-0.0003058811458798161,-0.035815680757704804,-3.351496131531739e-05,-0.00018014511501585062,0.9997051177649213
1kxf,121.47576489263511,0.9990562102710377,0.03044316896039703,-0.009847946580287426,-0.00019780733433316655,-0.03613131762501265,0.00013261742259296216,9.362029672166372e-05,0.9993962529303252
mul2,119.56532030769878,0.9990897611389762,0.030202831007750112,-0.009658511892056909,-0.00019985689484758318,-0.03592303415110987,-2.639538976278999e-05,6.812369252062744e-05,0.9999835939161
mul4,123.47837932910326,0.9990576738431216,0.0306930818260577,-0.009995814706666772,-0.00022673250693916458,-0.03608469858769503,0.0001413189708192597,1.2235425989270965e-05,0.9997568125300087
park6,123.94356387845433,0.9990520578495995,0.030750843052474424,-0.009599444197514906,-0.00023168728218747603,-0.03613969489432267,-3.235063627693435e-05,-8.799605991627324e-05,0.9994911035684937
park8,124.21319316775535,0.9990532745718599,0.030784272878584814,-0.009649978209770094,-0.0001485903185380888,-0.036418672334112,-8.15127271969196e-05,-2.3177579692390538e-05,0.9998210639100679
r4abm26,124.76905928789228,0.9990463333521691,0.030853077295470096,-0.009637326753024268,-0.0002329388598233347,-0.03637929862061158,-9.784669678564489e-05,-8.135622597087045e-05,0.9996586835368052
r4abm28,123.48683255759356,0.9990516100597685,0.030694132419670846,-0.009627933077427972,-0.00012042817763073225,-0.03627214409373086,9.027749725179968e-05,-0.00032584149029015147,0.9998417729186312
venka,121.69793263604483,0.999062521111754,0.030470995089065787,-0.009575597802198766,-0.00011418094622670386,-0.03595491759240641,-9.998204050666003e-05,-0.00015247125760292112,0.9996857196227263
xiao,121.52455683149537,0.9990751032459144,0.030449282246102133,-0.009722843661228664,-1.2081141493869296e-05,-0.03597491958580701,7.825170139419413e-06,1.655196721461749e-05,0.9998771923964137
zhang,119.84977034020032,0.9990837908961754,0.030238736455167777,-0.009572160197661939,-0.0001993502248613943,-0.035692319206925616,-7.84949665135759e-05,-5.709011913435091e-06,0.9996619836462795
